Semana,Bloque,Título,Regla,Atención,Ejemplos,Tabla,OK (sí/no),Corrección,Comentario
13,6,Passato prossimo: auxiliar y participio,"*avere* con objeto directo; *essere* con movimiento, cambio de estado y reflexivos, y entonces el participio **concuerda**.","Irregulares de memoria: *fatto, detto, visto, preso, messo, scritto, letto, venuto, stato*.",,io / ho mangiato / sono andato/a · lei / ha visto / è partita · noi / abbiamo fatto / siamo arrivati/e · loro / hanno detto / sono usciti/e,,,
13,7,Reflexivos e imperativo,"Pronombre reflexivo **delante** del verbo: *mi alzo*. En el imperativo de *tu*, **pegado**: *alzati!*; en negativo, *non* + infinitivo.",,Mi alzo alle sette. = Me levanto a las siete. · Parla più piano! = ¡Hablá más despacio! · Non parlare! = ¡No hables! · Dimmi! = ¡Decime!,,,,
13,8,Las cinco trampas del hispanohablante,Repasalas antes del examen: son las que más puntos cuestan.,,"posso, dormo, penso = 1. No diptongar. · PAR-lano, A-bitano = 2. loro: acento en la raíz. · il mio libro = 3. Artículo con el posesivo. · Vedo Marco. = 4. Sin «a» ante el objeto directo. · Studio da due anni. = 5. Presente + da para lo que sigue.",,,,
14,1,El mecanismo,"El sujeto es **lo que gusta**; la persona va en indirecto. *piace* con singular o infinitivo, *piacciono* con plural.","Con nombre o sustantivo va **a**: *a Marco piace*, *ai bambini piacciono*. Sin *a*, la frase queda dicha al revés.",Mi piace il caffè. = Me gusta el café. · Mi piacciono i film italiani. = Me gustan las películas italianas. · Mi piace leggere. = Me gusta leer. · A Marco piace la musica. = A Marco le gusta la música.,,,,
14,2,Negar y enfatizar,"*non* va antes del pronombre. Para contrastar, pronombre **tónico** con *a*: *a me*, *a lui*.",,"Non mi piace per niente. = No me gusta para nada. · A me piace, a lui no. = A mí me gusta, a él no. · A noi piacciono le montagne. = A nosotros nos gustan las montañas. · Mi piace un sacco. = Me gusta muchísimo. (coloquial) · Ti va di uscire? = ¿Tenés ganas de salir?",,,,
14,3,En pasado va con essere,"En passato prossimo *piacere* va con **essere**, y el participio concuerda con **lo que gustó**, no con la persona.",,Mi è piaciuto il film. = Me gustó la película. · Mi è piaciuta la cena. = Me gustó la cena. · Mi sono piaciuti i quadri. = Me gustaron los cuadros. · Mi sono piaciute le foto. = Me gustaron las fotos.,,,,
14,4,La familia de piacere,Estos verbos funcionan **igual**: la cosa es el sujeto y la persona va en indirecto.,"*Mi manchi* = «te extraño», no «me extrañás». El sujeto es el ausente: *mi manca mio fratello* = extraño a mi hermano.",,mancare / faltar / extrañar / Mi manchi. (Te extraño.) · servire / hacer falta / Mi serve una penna. · bastare / alcanzar / Mi bastano dieci euro. · sembrare / parere / parecer / Mi sembra giusto. · interessare / interesar / Non mi interessa. · dispiacere / lamentar / molestar / Mi dispiace. · occorrere / ser necesario / Ci occorre tempo. · succedere / suceder / Che ti succede? · restare / rimanere / quedar / Mi restano due giorni.,,,
15,1,La forma del imperfetto,"Raíz + *-a-*, *-e-* o *-i-* según la conjugación, y las mismas terminaciones para las tres: *parlavo, vendevo, dormivo*.",,,io / parlavo / vendevo / dormivo / ero · tu / parlavi / vendevi / dormivi / eri · lui/lei / parlava / vendeva / dormiva / era · noi / parlavamo / vendevamo / dormivamo / eravamo · voi / parlavate / vendevate / dormivate / eravate · loro / parlavano / vendevano / dormivano / erano,,,
15,2,Los pocos irregulares,"Recuperan la raíz latina: *fare → facevo*, *dire → dicevo*, *bere → bevevo*. *essere* es propio: *ero, eri, era*.",,Da bambino facevo sport. = De chico hacía deporte. · Che cosa dicevi? = ¿Qué decías? · Era tardi. = Era tarde.,,,,
15,3,La pregunta correcta,"Preguntate: **¿cuento qué pasó o describo cómo estaban las cosas?** El passato prossimo avanza la historia; el imperfetto pinta fondo, costumbre y estado.","«¿Duró mucho?» no sirve: *ho abitato a Roma per dieci anni* dura diez años y va en passato prossimo, porque es un período cerrado.","Mentre dormivo, è suonato il telefono. = Mientras dormía, sonó el teléfono. · Da bambino andavo al mare ogni estate. = De chico iba al mar todos los veranos. · Ieri sono andato al mare. = Ayer fui al mar. · Faceva freddo e non c'era nessuno. = Hacía frío y no había nadie.","descripción del fondo / hecho que avanza el relato · costumbre repetida / hecho ocurrido un número de veces · estado físico o mental / cambio de estado · edad, hora, clima / acontecimiento fechado · acción en curso interrumpida / la interrupción",,,
15,4,"El mismo verbo, dos lecturas","Con *sapere, conoscere* y los modales, el imperfetto deja el resultado abierto; el passato prossimo lo cierra. Como «podía» y «pude».",,Sapevo la verità. / Ho saputo la verità. = Sabía la verdad. / Me enteré de la verdad. · Conoscevo Marco. / Ho conosciuto Marco. = Conocía a Marco. / Conocí a Marco. · Potevo farlo. / Ho potuto farlo. = Podía hacerlo. / Pude (y lo hice). · Volevo uscire. / Ho voluto uscire. = Quería salir. / Quise salir (y salí). · Doveva partire. / È dovuto partire. = Tenía que irse. / Tuvo que irse (y se fue).,,,,
15,5,Imperfetto de cortesía,Para pedir con suavidad: *Volevo un caffè* (quería un café) es más amable que *voglio*.,,"Volevo un caffè, per favore. = Quería un café, por favor. · Cercavo il signor Rossi. = Buscaba al señor Rossi.",,,,
15,6,Adelanto: imperfetto en la hipótesis,"Al hablar, el imperfetto reemplaza las formas cultas de la hipótesis irreal: *Se lo sapevo, non venivo*. Reconocelo; en el examen, escribí la forma culta.",,"Se lo sapevo, non venivo. = Si lo sabía, no venía (coloquial). · Se l'avessi saputo, non sarei venuto. = Si lo hubiera sabido, no habría venido (forma culta).",,,,
16,1,Todos con essere. Todos.,"Reflexivos y pronominales van **siempre con *essere***, aunque sin pronombre el verbo lleve *avere*. El participio concuerda con el sujeto.","Castellano: «me he lavado», con HABER. Italiano: *mi sono lavato*, con SER. «mi ho lavato» es el error más penalizado del B1.",,io / mi sono lavato / lavata · tu / ti sei lavato / lavata · lui / lei / si è lavato / lavata · noi / ci siamo lavati / lavate · voi / vi siete lavati / lavate · loro / si sono lavati / lavate,,,
16,2,El mismo verbo con y sin pronombre,"Sin pronombre, el verbo sigue su regla: *ho lavato la macchina*. Con pronombre reflexivo, pasa a *essere*: *mi sono lavato*.",,Ho lavato la macchina. / Mi sono lavato le mani. = Lavé el auto. / Me lavé las manos. · Ho svegliato i bambini. / Mi sono svegliato tardi. = Desperté a los chicos. / Me desperté tarde. · Ho fermato il taxi. / Mi sono fermato al semaforo. = Paré el taxi. / Me detuve en el semáforo.,,,,
16,3,Recíprocos y pronominales,"Los recíprocos (el uno al otro) y los pronominales idiomáticos también van con *essere*: *ci siamo visti*, *si è accorto*, *ci siamo divertiti*.",,Ci siamo conosciuti a Milano. = Nos conocimos en Milán. · Si sono salutati alla stazione. = Se despidieron en la estación. · Mi sono dimenticata le chiavi. = Me olvidé las llaves. · Si è accorto dell'errore. = Se dio cuenta del error.,,,,
16,4,"Con modales, dos opciones",Pronombre delante → *essere*. Pronombre pegado al infinitivo → *avere*. Las dos son correctas y significan lo mismo.,,Mi sono dovuto alzare presto. = Tuve que levantarme temprano. · Ho dovuto alzarmi presto. = Tuve que levantarme temprano.,,,,
17,1,Demostrativos: solo dos grados,"Dos grados, no tres: *questo* (cerca de quien habla) y *quello* (todo lo demás). *quello* ante sustantivo cambia como el artículo: *quel*, *quello*, *quell'*.",,Questo caffè è buono. = Este café está rico. · Quel ragazzo è Marco. = Ese chico es Marco. · Quali libri? Quelli. = ¿Qué libros? Esos.,questo / questo / questa / questi / queste · quello (ante sust.) / quel / quello / quell' / quella / quell' / quei / quegli / quelle · quello (pronombre) / quello / quella / quelli / quelle,,,
17,2,Posesivos: siempre con artículo,"El posesivo lleva **artículo** y concuerda con la cosa poseída, no con el dueño: *Marco e la sua macchina*. *loro* no cambia, pero lleva artículo igual.",,Anna e il suo cane. = Ana y su perro. · Marco e la sua macchina. = Marco y su auto. · È la loro casa. = Es la casa de ellos.,mio / il mio / la mia / i miei / le mie · tuo / il tuo / la tua / i tuoi / le tue · suo / il suo / la sua / i suoi / le sue · nostro / il nostro / la nostra / i nostri / le nostre · vostro / il vostro / la vostra / i vostri / le vostre · loro / il loro / la loro / i loro / le loro,,,
17,3,Familia: sin artículo,"Parentesco en **singular y sin adjetivo**: el posesivo va sin artículo. *mio padre*, *tua sorella*, *suo figlio*.",«il mio padre» es error de principiante. Y con *loro* el artículo no se cae nunca.,"mio padre, tua sorella = singular: sin artículo · i miei fratelli = plural: con artículo · il mio caro fratello = con adjetivo: con artículo · la mia mamma = forma afectiva: con artículo · il loro padre = con loro: siempre con artículo",,,,
17,4,Indefinidos que hay que saber,"Casi todos funcionan como en castellano. Fijá tres: *qualche* + **singular**, *ogni* invariable, y *nessuno / niente* detrás del verbo con *non*.","*qualche amico* = algunos amigos: «qualche amici» es error seguro. Y *ogni giorno*, nunca «ogni giorni».",,"qualche + singular / algunos / ¡siempre singular! qualche libro · alcuni / alcune + plural / algunos / alcuni libri · ogni + singular / cada / todos los / invariable: ogni giorno · tutto/a/i/e + artículo / todo / tutti i giorni, tutta la notte · qualcuno / qualcosa / alguien / algo / invariables · nessuno / niente / nadie / nada / detrás del verbo piden non · altro/a/i/e / otro / un altro libro (con «un», a diferencia de «otro libro») · poco, molto, troppo, tanto / poco, mucho... / concuerdan como adjetivos",,,
17,5,molto: adjetivo o adverbio,"Con sustantivo **concuerda** (*molti libri*, *molta gente*). Con adjetivo, adverbio o verbo **no cambia** (*molto stanchi*). Igual *poco, tanto, troppo*.",,Ho molti amici. = Tengo muchos amigos. · Sono molto contenta. = Estoy muy contenta. · Lavorano troppo. = Trabajan demasiado.,,,,
18,1,El esquema non ... X,Palabra negativa **después** del verbo → *non* delante. Palabra negativa **antes** del verbo → sin *non*. Igual que en castellano.,,Non ho visto nessuno. = No vi a nadie. · Nessuno mi ha visto. = Nadie me vio. · Non vado mai al cinema. = Nunca voy al cine. · Non lavoro più qui. = Ya no trabajo acá. · Non ho né tempo né voglia. = No tengo ni tiempo ni ganas.,,,,
18,2,El inventario,"Cada negación se arma con *non* + otra palabra, y casi todas calcan el castellano. La excepción es *non... che*, que significa «solo».","*Non ho che dieci euro* = «solo tengo diez euros», no «no tengo diez euros». Trampa clásica de comprensión lectora.",Non c'è niente da fare. = No hay nada que hacer. · Non mi piace neanche un po'. = No me gusta ni un poco.,"non... niente / nulla / nada · non... nessuno / nadie / ningún · non... mai / nunca · non... più / ya no · non... ancora / todavía no · non... né... né / ni... ni · non... affatto / mica / en absoluto / para nada · non... neanche / nemmeno / neppure / ni siquiera, tampoco · non... che / solo (¡no es negación!)",,,
18,3,"mica, la negación coloquial",*mica* refuerza la negación al hablar: *Non è mica facile!* = ¡no es nada fácil! Se dice mucho y se escribe poco.,,"Non è mica facile! = ¡No es nada fácil! · Non hai mica una penna? = ¿No tenés una lapicera, por casualidad?",,,,
18,4,"Exclamaciones con che, come, quanto","*Che* + sustantivo o adjetivo, **sin artículo**: *Che bello!* *Come* o *quanto* + verbo: *Come sei elegante!*","Nunca «che una bella giornata»: igual que «¡qué lindo día!», sin artículo.",Che peccato! = ¡Qué lástima! · Che bella giornata! = ¡Qué lindo día! · Come sei elegante! = ¡Qué elegante estás! · Quanto mi manchi! = ¡Cuánto te extraño!,,,,
18,5,Cinco exclamaciones de todos los días,"Se oyen a cada rato y no se traducen palabra por palabra: aprendelas enteras, con su sentido.",,"Magari! = ¡Ojalá! · Figurati! = ¡Para nada, no es molestia! · Dai! = ¡Dale! · Boh! = Ni idea. · Beato te! = ¡Qué suerte la tuya!",,,,
19,1,Futuro semplice,"Infinitivo sin la *-e* final + *-ò, -ai, -à, -emo, -ete, -anno*. En *-are*, la *a* pasa a *e*: *parlare → parlerò*.",,,io / parlerò / venderò / dormirò · tu / parlerai / venderai / dormirai · lui/lei / parlerà / venderà / dormirà · noi / parleremo / venderemo / dormiremo · voi / parlerete / venderete / dormirete · loro / parleranno / venderanno / dormiranno,,,
19,2,Raíces irregulares,Pocos verbos cambian la raíz; las terminaciones son las de siempre. La misma raíz sirve después para el condicional: la aprendés dos veces.,,Domani andrò al mare. = Mañana voy a ir al mar. · Sarò a casa alle otto. = Voy a estar en casa a las ocho.,essere / sar- / avere / avr- · andare / andr- / dovere / dovr- · potere / potr- / sapere / sapr- · vedere / vedr- / vivere / vivr- · venire / verr- / volere / vorr- · rimanere / rimarr- / tenere / terr- · bere / berr- / fare / far- · dare / dar- / stare / star-,,,
19,3,Futuro anteriore,*avrò / sarò* + participio: lo que ya estará terminado antes de otro momento futuro. También sirve para suponer sobre el pasado.,,"Quando avrò finito, ti chiamerò. = Cuando haya terminado, te llamo. · Saranno già partiti. = Ya se habrán ido.",,,,
19,4,Futuro para suponer,"El futuro sirve para **suponer sobre el presente**: *Sarà a casa* = estará en casa. El castellano también lo hace, pero el italiano mucho más.",,"Che ora è? — Saranno le tre. = ¿Qué hora es? — Serán las tres. · Quanti anni ha? — Avrà quarant'anni. = Tendrá unos cuarenta. · Dov'è Marco? — Sarà a casa. = Estará en casa. · Sarà anche vero, ma non ci credo. = Puede que sea cierto, pero no lo creo.",,,,
19,5,"Después de quando, futuro","Si el sentido es futuro, detrás de *quando* y *appena* va **futuro**: *Quando arriverai, ti darò le chiavi*.","El castellano pone subjuntivo («cuando llegues»): no lo calques. Al hablar se oye *quando arrivi*; en el examen, escribí el futuro.","Quando arriverai, ti darò le chiavi. = Cuando llegues, te doy las llaves. · Appena potrò, ti chiamerò. = Apenas pueda, te llamo.",,,,
20,1,Las formas,"Raíz de futuro + *-ei, -esti, -ebbe, -emmo, -este, -ebbero*. Las raíces irregulares son las mismas: *sarei, avrei, vorrei*.","*noi* lleva **dos emes**: *parleremmo* (hablaríamos). Con una sola, *parleremo*, es futuro (hablaremos).",,io / parlerei / sarei / avrei / vorrei · tu / parleresti / saresti / avresti / vorresti · lui/lei / parlerebbe / sarebbe / avrebbe / vorrebbe · noi / parleremmo / saremmo / avremmo / vorremmo · voi / parlereste / sareste / avreste / vorreste · loro / parlerebbero / sarebbero / avrebbero / vorrebbero,,,
20,2,"Cortesía, deseo y consejo","Para pedir, desear o aconsejar sin imponer: *vorrei*, *potresti*, *mi piacerebbe*, *dovresti*.",,"Vorrei un caffè, per favore. = Quisiera un café, por favor. · Potresti aiutarmi? = ¿Podrías ayudarme? · Mi piacerebbe andare in Italia. = Me gustaría ir a Italia. · Dovresti riposare. = Deberías descansar. · Saprebbe dirmi dov'è la stazione? = ¿Sabría decirme dónde está la estación?",,,,
20,3,La noticia no confirmada,"Diarios y noticieros usan el condicional para datos **no verificados**. El castellano también, pero el italiano lo hace casi siempre.",,"Secondo fonti vicine al governo, il ministro si dimetterebbe. = Según fuentes cercanas al gobierno, el ministro renunciaría. · Ci sarebbero venti feriti. = Habría veinte heridos.",,,,
20,4,Adelanto: nunca condicional tras se,"Detrás de *se* hipotético **nunca** va condicional: *Se avessi tempo, verrei*, jamás «se avrei tempo». La estructura completa llega en la semana 33.",En el italiano hablado regional se oye «se avrei»: no lo imites. En castellano correcto tampoco se dice «si tendría».,"Se avessi tempo, verrei. = Si tuviera tiempo, vendría.",,,,
21,1,NE: una cantidad,*ne* reemplaza **una cantidad** de algo ya mencionado. En castellano no se dice nada; en italiano es **obligatorio**.,"*Ho tre* sin *ne* es agramatical. Cada vez que respondas con una cantidad, *ne* tiene que estar.","Quanti libri hai? — Ne ho tre. = ¿Cuántos libros tenés? — Tengo tres. · Vuoi del pane? — Sì, ne prendo un po'. = ¿Querés pan? — Sí, agarro un poco. · Hai sigarette? — No, non ne ho. = ¿Tenés cigarrillos? — No, no tengo.",,,,
21,2,NE: di + algo,*ne* también reemplaza **di + algo**: *parlare del progetto → parlarne*; *sono contento del risultato → ne sono contento*.,,Ne parliamo domani. = Hablamos de eso mañana. · Ne sono contento. = Estoy contento con eso. · Che ne pensi? = ¿Qué te parece? / ¿Qué pensás de eso? · Ne ho sentito parlare. = Oí hablar de eso.,,,,
21,3,CI: un lugar,"*ci* reemplaza **un lugar** ya mencionado: «ahí, allá». En castellano muchas veces no se dice; en italiano, sí.",,"Vai a Roma? — Sì, ci vado domani. = ¿Vas a Roma? — Sí, voy mañana. · Sei mai stato in Grecia? — No, non ci sono mai stato. = ¿Estuviste alguna vez en Grecia? — No, nunca. · Abiti ancora a Roma? — Sì, ci abito da dieci anni. = ¿Seguís viviendo en Roma? — Sí, vivo ahí hace diez años.",,,,
21,4,CI: a + algo,*ci* también reemplaza **a / in / su + algo**: *pensare al lavoro → ci penso*; *credere ai fantasmi → non ci credo*.,,"Pensi al lavoro? — Sì, ci penso sempre. = Sí, pienso en eso siempre. · Credi ai fantasmi? — No, non ci credo. = No, no creo en eso. · Ci riesco! = ¡Lo logro! · Non ci capisco niente. = No entiendo nada de esto.",,,,
21,5,Expresiones fijas,Algunos verbos llevan *ci* o *ne* **fijos** y cambian de sentido. Se aprenden como palabras nuevas.,*ci metto due ore* = yo tardo dos horas (personal). *ci vogliono due ore* = se necesitan dos horas (impersonal). No los mezcles.,,"ci vuole / ci vogliono / hace falta / hacen falta · c'è / ci sono / hay · farcela / arreglárselas, lograrlo (ce la faccio) · andarsene / irse (me ne vado) · averne abbastanza / estar harto (ne ho abbastanza) · non poterne più / no aguantar más (non ne posso più) · metterci / tardar (ci metto due ore) · volerci / hacer falta (ci vogliono due ore)",,,
22,1,La transformación,"El indirecto va **primero** y su *-i* se vuelve **-e**: *mi + lo → me lo*. *gli* y *le* se funden en **glie-**, pegado.","La sorpresa no es el orden sino la vocal: «mi lo» no existe, siempre *me lo*, *te la*, *ce ne*. La *i* pasa a *e* sin excepción.",,mi / me lo / me la / me li / me le / me ne · ti / te lo / te la / te li / te le / te ne · gli / le / Le / glielo / gliela / glieli / gliele / gliene · ci / ce lo / ce la / ce li / ce le / ce ne · vi / ve lo / ve la / ve li / ve le / ve ne · si / se lo / se la / se li / se le / se ne,,,
22,2,"glielo: una palabra, muchos sentidos","*glielo* se escribe **junto** y es «se lo» a él, a ella y a usted; en el italiano actual, también a ellos.",,"Glielo dico io. = Se lo digo yo. · Signora, glielo porto subito. = Señora, se lo traigo enseguida.",,,,
22,3,En frases de todos los días,"Los combinados van **delante del verbo conjugado**, en el orden del castellano: indirecto + directo, o indirecto + *ne*.",,Me lo dai? = ¿Me lo das? · Te la spiego dopo. = Te la explico después. · Ce ne ha parlato ieri. = Nos habló de eso ayer. · Se ne sono andati. = Se fueron.,,,,
22,4,En los tiempos compuestos,"El participio **concuerda** con el pronombre directo, como siempre: *me l'ha data* (la carta), *gliele ho dette* (las cosas).",,Il libro? Me l'ha prestato Marco. = ¿El libro? Me lo prestó Marco. · Le chiavi? Gliele ho date ieri. = ¿Las llaves? Se las di ayer. · Ce li hanno portati. = Nos los trajeron.,,,,
22,5,"Con infinitivo e imperativo, pegados","Con infinitivo e imperativo van **pegados al final**, como en castellano: *dirtelo*, *dammelo*. Con el gerundio también (semana 44).",,Voglio dirtelo. = Quiero decírtelo. · Puoi portarmelo? = ¿Me lo podés traer? · Dammelo! = ¡Dámelo! · Diglielo subito! = ¡Decíselo ya! · Non dirmelo! = ¡No me lo digas!,,,,
23,1,di o che,"*di* ante sustantivo, pronombre o número. *che* entre dos adjetivos, dos verbos, dos sustantivos con el mismo verbo, o ante preposición.",,Anna è più giovane di me. = Ana es más joven que yo. · Studiare è meno noioso che lavorare. = Estudiar es menos aburrido que trabajar.,di / ante sustantivo o pronombre solo / Marco è più alto di Luca. · di / ante número / Ho più di venti libri. · che / entre dos adjetivos / È più simpatico che bello. · che / entre dos verbos / È più facile dire che fare. · che / ante preposición / Vado più a Roma che a Milano. · che / entre dos sustantivos con el mismo verbo / Bevo più caffè che tè.,,,
23,2,Igualdad,"*come* o *quanto*: *Marco è alto come Luca*. El *così* o *tanto* de delante suele omitirse. Con sustantivos, *tanto... quanto* concuerda.",,Marco è alto come Luca. = Marco es tan alto como Luca. · Marco è tanto alto quanto Luca. = Marco es tan alto como Luca. · Ho tanti libri quanti quaderni. = Tengo tantos libros como cuadernos.,,,,
23,3,Superlativo relativo,"Artículo + *più / meno* + adjetivo + *di*: *il ragazzo più alto della classe*. Si el artículo ya está ante el sustantivo, **no se repite**.","Nada de «la città la più bella»: un solo artículo, igual que en castellano.",È la città più bella d'Italia. = Es la ciudad más linda de Italia. · È il ragazzo più alto della classe. = Es el chico más alto de la clase.,,,,
23,4,Superlativo absoluto,"*-issimo* o *molto* + adjetivo: *bellissimo* = *molto bello*. Concuerda como cualquier adjetivo: *bellissima, bellissimi, bellissime*.",,Sono stanchissimo. = Estoy cansadísimo. · È bravissima. = Es buenísima (en lo que hace). · Le case sono molto belle. = Las casas son muy lindas.,,,,
23,5,Las formas irregulares,"*buono, cattivo, grande, piccolo* tienen comparativo propio: *migliore, peggiore, maggiore, minore*. Los adverbios *bene* y *male* dan *meglio* y *peggio*.",*migliore* es adjetivo (*un libro migliore*); *meglio* es adverbio (*canta meglio*). Confundirlos es como decir «canta mejor libro».,È il mio migliore amico. = Es mi mejor amigo. · Canta meglio di me. = Canta mejor que yo.,buono / migliore / il migliore / ottimo · cattivo / peggiore / il peggiore / pessimo · grande / maggiore / il maggiore / massimo · piccolo / minore / il minore / minimo · bene (adv.) / meglio / — / benissimo · male (adv.) / peggio / — / malissimo,,,
24,1,Cómo se arma,"Tomá el *io* del presente, sacale la *-o* y agregá las terminaciones. Los irregulares del presente arrastran su irregularidad: *vengo → venga*, *faccio → faccia*.",,,io / parli / prenda / dorma / finisca · tu / parli / prenda / dorma / finisca · lui/lei / parli / prenda / dorma / finisca · noi / parliamo / prendiamo / dormiamo / finiamo · voi / parliate / prendiate / dormiate / finiate · loro / parlino / prendano / dormano / finiscano,,,
24,2,Singular idéntico: poné el pronombre,"*io*, *tu* y *lui/lei* tienen **la misma forma**. Si el contexto no aclara quién es el sujeto, el italiano **pone el pronombre**.","En castellano la terminación ya dice quién («que vengas»), así que el pronombre se te va a olvidar. *che venga* puede ser yo, vos o él.",Credo che tu abbia ragione. = Creo que tenés razón. · Penso che lui venga. = Pienso que él viene.,,,,
24,3,La vocal que confunde,"Al revés que en castellano: *-are* hace **-i** (*che parli*) y *-ere/-ire* hacen **-a** (*che prenda*, *che dorma*).","Como el indicativo es *parla*, el instinto produce «che parla», que es indicativo. Esta confusión explica buena parte de los errores de congiuntivo del hispanohablante.",Credo che lui parli bene. = Creo que él habla bien. · Credo che lui prenda il treno. = Creo que toma el tren. · Spero che tu dorma bene. = Espero que duermas bien.,,,,
24,4,Los irregulares de memoria,"Estos se aprenden de memoria. Varios salen del *io* del presente (*vengo → venga*); *sia*, *abbia*, *sappia*, *dia*, *stia* no.",,,essere / sia / siamo / siate / siano · avere / abbia / abbiamo / abbiate / abbiano · andare / vada / andiamo / andiate / vadano · fare / faccia / facciamo / facciate / facciano · dare / dia / diamo / diate / diano · stare / stia / stiamo / stiate / stiano · potere / possa / possiamo / possiate / possano · volere / voglia / vogliamo / vogliate / vogliano · dovere / debba / dobbiamo / dobbiate / debbano · sapere / sappia / sappiamo / sappiate / sappiano · venire / venga / veniamo / veniate / vengano · uscire / esca / usciamo / usciate / escano · dire / dica / diciamo / diciate / dicano · bere / beva / beviamo / beviate / bevano · scegliere / scelga / scegliamo / scegliate / scelgano · rimanere / rimanga / rimaniamo / rimaniate / rimangano,,,
24,5,Ya lo venías usando,"El imperativo formal de la semana 12 **es congiuntivo**: *Scusi!*, *Senta!*, *Venga!*, *Mi dica!*. Si eso te sale solo, media forma ya está aprendida.",,Prenda pure! = ¡Tome nomás! (usted) · Si accomodi! = ¡Póngase cómodo!,,,,
25,1,La regla madre,"Congiuntivo después de *che* cuando el principal expresa **algo no constatado**: opinión, duda, deseo, emoción, espera. Y con **sujetos distintos**.",,,"opinión / credere, pensare, ritenere, immaginare, supporre / Credo che sia tardi. · duda / dubitare, non sapere se / Dubito che venga. · deseo/voluntad / volere, desiderare, preferire, sperare / Voglio che tu venga. · emoción / essere contento, temere, avere paura, dispiacere / Sono contento che tu stia bene. · espera / aspettare che, aspettarsi che / Aspetto che finisca. · impersonales / è necessario, è possibile, bisogna, sembra, pare / È possibile che piova.",,,
25,2,«Creo que es»: congiuntivo,"*credere*, *pensare*, *sembrare* afirmativos piden **congiuntivo**, aunque en castellano van con indicativo: *Credo che sia tardi* = «creo que es tarde».",Es el error que más rápido delata a un hispanohablante. La buena noticia: la regla es muy estable y se corrige rápido.,Credo che abbia ragione. = Creo que tiene razón. · Penso che sia una buona idea. = Pienso que es una buena idea. · Mi sembra che sia in ritardo. = Me parece que llega tarde. · Immagino che tu sia stanco. = Imagino que estás cansado.,,,,
25,3,Cuándo NO va congiuntivo,"Con verbos que presentan **un hecho** (*so che*, *è vero che*, *è certo che*, *dico che*, *vedo che*, *è chiaro che*) y con *secondo me*: indicativo.",,"So che è tardi. = Sé que es tarde. · È vero che ha ragione. = Es verdad que tiene razón. · Secondo me, è una buona idea. = Para mí, es una buena idea.",,,,
25,4,Mismo sujeto: infinitivo,"Si el que cree y el que hace son **la misma persona**, nada de *che*: *di* + infinitivo. Como en castellano: «creo tener razón».","*volere*, *potere*, *dovere*, *preferire*, *desiderare* van con infinitivo **sin** *di*: *voglio partire*. *sperare*, *credere*, *pensare* piden *di*: *spero di partire*.",Credo di avere ragione. = Creo tener razón. · Spero di arrivare in tempo. = Espero llegar a tiempo. · Voglio partire domani. = Quiero salir mañana. (sin di) · Voglio che tu parta domani. = Quiero que te vayas mañana.,,,,
26,1,El mapa de los tiempos,"Dos mecanismos: terminación sobre la raíz (presente, imperfetto, futuro, condizionale) o auxiliar + participio (los tiempos compuestos).",,,"presente / raíz + terminación / ahora, habitual, futuro cercano · passato prossimo / avere/essere + participio / hecho pasado y terminado · imperfetto / raíz + -avo/-evo/-ivo / fondo, costumbre, descripción · trapassato prossimo / avevo/ero + participio / pasado anterior a otro pasado · futuro semplice / raíz de futuro + -ò, -ai, -à / porvenir y suposición · futuro anteriore / avrò/sarò + participio / terminado antes de un futuro · condizionale / raíz de futuro + -ei, -esti, -ebbe / cortesía, deseo, noticia no confirmada",,,
26,2,El trapassato prossimo,Imperfetto de *avere* o *essere* + participio: lo que pasó **antes** de otro hecho pasado. El auxiliar se elige como en el passato prossimo.,,"Avevo già mangiato. = Ya había comido. · Non avevo mai visto Roma. = Nunca había visto Roma. · Quando sono arrivato, il film era già cominciato. = Cuando llegué, la película ya había empezado.",,,,
26,3,Auxiliar: la decisión de cada frase,"*essere* con desplazamiento, cambio de estado, reflexivos, pronominales, impersonales y familia de *piacere*: el participio concuerda con el sujeto. *avere* con todo lo demás.","Con *avere*, el participio concuerda con *lo, la, li, le, ne* delante (*le ho viste, ne ho comprate due*); con *mi, ti, ci, vi* es opcional. *Camminare, viaggiare*: con *avere*.",,,,,
26,4,Raíces de futuro y condicional,"Una raíz, dos tiempos: la raíz irregular del futuro es la misma del condicional. *sarò / sarei*, *vorrò / vorrei*.",,,essere / sar- / avere / avr- · andare / andr- / potere / potr- · volere / vorr- / venire / verr- · dovere / dovr- / sapere / sapr- · vedere / vedr- / rimanere / rimarr- · tenere / terr- / bere / berr- · fare / far- /  / ,,,
26,5,"Pronombres combinados, ne y ci","Indirecto primero, con *-i* → **-e**: *me lo, ce ne*. *gli / le* + *lo* → **glielo**. *ne* = de eso o cantidad; *ci* = ahí.",,"Me lo dai? = ¿Me lo das? · Glielo dico io. = Se lo digo yo. · Quanti libri hai? Ne ho tre. = ¿Cuántos libros tenés? Tengo tres. · Vai a Roma? Sì, ci vado domani. = ¿Vas a Roma? Sí, voy mañana.",,,,
